Title,URL
Sign up for our curated weekly podcast newsletter,https://www.theguardian.com/info/2017/may/10/hear-here-podcast-recommendations-sign-up-for-unexpected-audio-pleasures
Our weekly guide to the world of technology,https://www.theguardian.com/info/2022/sep/20/sign-up-for-the-techscape-newsletter-our-free-technology-email
Fossil of the day and passionate plenaries ,https://www.theguardian.com/environment/gallery/2022/nov/18/cop27-fossil-of-the-day-and-passionate-plenaries-in-pictures
A protest and a giant wedding cake,https://www.theguardian.com/news/gallery/2022/nov/18/a-protest-and-a-giant-wedding-cake-fridays-best-photos
From migrating crabs to a monkey carrying a puppy,https://www.theguardian.com/environment/gallery/2022/nov/18/the-week-in-wildlife-in-pictures
Cuba’s places of worship,https://www.theguardian.com/artanddesign/gallery/2022/nov/18/holy-havana-cubas-places-of-worship-in-pictures
Growing up in India’s coalfields,https://www.theguardian.com/global-development/gallery/2022/nov/18/the-teenage-miners-of-jharia-growing-up-in-indias-coalfields-in-pictures
Urban loft-style homes for sale,https://www.theguardian.com/money/gallery/2022/nov/18/urban-loft-style-homes-for-sale-in-pictures
Manchester United explore legal action as they look to force Ronaldo exit,https://www.theguardian.com/football/2022/nov/18/manchester-united-to-sue-cristiano-ronaldo-and-ban-him-over-interview
Jeremy Hunt faces rebellion on Tory right over autumn statement,https://www.theguardian.com/politics/2022/nov/18/jeremy-hunt-faces-rebellion-on-tory-right-over-autumn-statement
Security guards at Doha World Cup park claim they are paid just 35p an hour,https://www.theguardian.com/global-development/2022/nov/18/security-guards-doha-qatar-world-cup-park-claim-they-are-paid-just-35p-an-hour
"‘It’s not my shame, it’s his’: Somerset woman speaks out on childhood abuse by brother",https://www.theguardian.com/society/2022/nov/18/somerset-woman-speaks-out-on-childhood-abuse-by-brother
"I’ve kissed a Tory and I’m not ashamed, Keir Starmer reveals",https://www.theguardian.com/politics/2022/nov/18/keir-starmer-i-kissed-a-tory-and-not-ashamed-labour
Footage of cars hitting pedestrians at Bradford zebra crossing ‘horrifies’ MP,https://www.theguardian.com/uk-news/2022/nov/18/footage-of-cars-hitting-pedestrians-at-bradford-zebra-crossing-horrifies-mp
Anna Maxwell Martin: ‘I never get offered drugs. People think I’m a child’,https://www.theguardian.com/tv-and-radio/2022/nov/18/anna-maxwell-martin-i-never-get-offered-drugs-people-think-im-a-child
Qatar bans beer from World Cup stadiums after 11th-hour U-turn,https://www.theguardian.com/football/2022/nov/18/qatar-bans-beer-from-world-cup-stadiums-fifa-u-turn
"Beer ban, Beckham and a vagina stadium: the World Cup in inglorious technicolor",https://www.theguardian.com/football/2022/nov/18/beer-ban-beckham-and-a-vagina-stadium-the-world-cup-in-inglorious-technicolor-qatar
‘I don’t watch television’: how two Brian Coxes stumped one hotel receptionist,https://www.theguardian.com/culture/2022/nov/18/i-dont-watch-television-how-two-brian-coxes-stumped-one-hotel-receptionist
